POTENTIALID,ACTIVITY_TIMESTAMP,ACTIVITY,CONTACTID,ACCOUNTID,INVOICEGRANDTOTAL,DEALSTAGE,EMAIL_VOC,CALL_VOC,EVENT_VOC,QUOTE_VOC,SALESORDER_VOC,INVOICE_VOC,CLASS_TAG
03aa496b-6ba7-4091-839c-a8a1f91c3b34,2025-06-02T12:06:23.195106,call,CONTACT24,ACCOUNT24,,needs analysis,,"{""sentiment"": ""neutral"", ""intent"": ""others"", ""emotion"": ""neutral""}",,,,,closed won
03aa496b-6ba7-4091-839c-a8a1f91c3b34,2025-06-02T12:16:23.195106,meeting,CONTACT24,ACCOUNT24,,proposal,,,"{""sentiment"": ""neutral"", ""intent"": ""others"", ""emotion"": ""neutral""}",,,,closed won
03aa496b-6ba7-4091-839c-a8a1f91c3b34,2025-06-02T12:26:23.195106,call,CONTACT24,ACCOUNT24,,negotiation,,"{""sentiment"": ""positive"", ""intent"": ""purchase"", ""emotion"": ""happy""}",,,,,closed won
03aa496b-6ba7-4091-839c-a8a1f91c3b34,2025-06-02T12:36:23.195106,quote,CONTACT24,ACCOUNT24,,closed won,,,,"{""sentiment"": ""positive"", ""intent"": ""purchase"", ""emotion"": ""happy""}",,,closed won
03aa496b-6ba7-4091-839c-a8a1f91c3b34,2025-06-02T12:46:23.195106,salesorder,CONTACT24,ACCOUNT24,,closed won,,,,,"{""sentiment"": ""positive"", ""intent"": ""purchase"", ""emotion"": ""happy""}",,closed won
03aa496b-6ba7-4091-839c-a8a1f91c3b34,2025-06-02T12:56:23.195106,invoice,CONTACT24,ACCOUNT24,4331,closed won,,,,,,"{""sentiment"": ""positive"", ""intent"": ""purchase"", ""emotion"": ""happy""}",closed won
0a669394-eb58-4b46-931b-9c776b2087da,2025-06-11T11:46:23.195106,mail,CONTACT40,ACCOUNT40,,qualification,"{""sentiment"": ""neutral"", ""intent"": ""request"", ""emotion"": ""neutral""}",,,,,,closed won
0a669394-eb58-4b46-931b-9c776b2087da,2025-06-11T11:56:23.195106,call,CONTACT40,ACCOUNT40,,qualification,,"{""sentiment"": ""neutral"", ""intent"": ""others"", ""emotion"": ""neutral""}",,,,,closed won
0a669394-eb58-4b46-931b-9c776b2087da,2025-06-11T12:06:23.195106,call,CONTACT40,ACCOUNT40,,needs analysis,,"{""sentiment"": ""neutral"", ""intent"": ""others"", ""emotion"": ""neutral""}",,,,,closed won
0a669394-eb58-4b46-931b-9c776b2087da,2025-06-11T12:16:23.195106,meeting,CONTACT40,ACCOUNT40,,proposal,,,"{""sentiment"": ""positive"", ""intent"": ""request"", ""emotion"": ""gratitude""}",,,,closed won
0a669394-eb58-4b46-931b-9c776b2087da,2025-06-11T12:26:23.195106,call,CONTACT40,ACCOUNT40,,negotiation,,"{""sentiment"": ""positive"", ""intent"": ""purchase"", ""emotion"": ""happy""}",,,,,closed won
0a669394-eb58-4b46-931b-9c776b2087da,2025-06-11T12:36:23.195106,quote,CONTACT40,ACCOUNT40,,closed won,,,,"{""sentiment"": ""positive"", ""intent"": ""purchase"", ""emotion"": ""happy""}",,,closed won
0a669394-eb58-4b46-931b-9c776b2087da,2025-06-11T12:46:23.195106,salesorder,CONTACT40,ACCOUNT40,,closed won,,,,,"{""sentiment"": ""positive"", ""intent"": ""purchase"", ""emotion"": ""happy""}",,closed won
0a669394-eb58-4b46-931b-9c776b2087da,2025-06-11T12:56:23.195106,invoice,CONTACT40,ACCOUNT40,3930,closed won,,,,,,"{""sentiment"": ""positive"", ""intent"": ""purchase"", ""emotion"": ""happy""}",closed won
15117095-d2c8-4881-8a66-4e958918a9fa,2025-06-19T11:46:23.195106,mail,CONTACT36,ACCOUNT36,,qualification,"{""sentiment"": ""positive"", ""intent"": ""request"", ""emotion"": ""gratitude""}",,,,,,closed won
15117095-d2c8-4881-8a66-4e958918a9fa,2025-06-19T11:56:23.195106,call,CONTACT36,ACCOUNT36,,qualification,,"{""sentiment"": ""positive"", ""intent"": ""purchase"", ""emotion"": ""happy""}",,,,,closed won
15117095-d2c8-4881-8a66-4e958918a9fa,2025-06-19T12:06:23.195106,call,CONTACT36,ACCOUNT36,,needs analysis,,"{""sentiment"": ""neutral"", ""intent"": ""others"", ""emotion"": ""neutral""}",,,,,closed won
15117095-d2c8-4881-8a66-4e958918a9fa,2025-06-19T12:16:23.195106,meeting,CONTACT36,ACCOUNT36,,proposal,,,"{""sentiment"": ""positive"", ""intent"": ""others"", ""emotion"": ""trust""}",,,,closed won
15117095-d2c8-4881-8a66-4e958918a9fa,2025-06-19T12:26:23.195106,call,CONTACT36,ACCOUNT36,,negotiation,,"{""sentiment"": ""positive"", ""intent"": ""request"", ""emotion"": ""trust""}",,,,,closed won
15117095-d2c8-4881-8a66-4e958918a9fa,2025-06-19T12:36:23.195106,quote,CONTACT36,ACCOUNT36,,closed won,,,,"{""sentiment"": ""positive"", ""intent"": ""purchase"", ""emotion"": ""happy""}",,,closed won
15117095-d2c8-4881-8a66-4e958918a9fa,2025-06-19T12:46:23.195106,salesorder,CONTACT36,ACCOUNT36,,closed won,,,,,"{""sentiment"": ""positive"", ""intent"": ""purchase"", ""emotion"": ""happy""}",,closed won
15117095-d2c8-4881-8a66-4e958918a9fa,2025-06-19T12:56:23.195106,invoice,CONTACT36,ACCOUNT36,4220,closed won,,,,,,"{""sentiment"": ""positive"", ""intent"": ""purchase"", ""emotion"": ""happy""}",closed won
16824ec1-7d99-469e-80f3-a270206458ce,2025-06-02T11:46:23.195106,mail,CONTACT35,ACCOUNT35,,qualification,"{""sentiment"": """", ""intent"": """", ""emotion"": """"}",,,,,,closed won
16824ec1-7d99-469e-80f3-a270206458ce,2025-06-02T11:56:23.195106,call,CONTACT35,ACCOUNT35,,qualification,,"{""sentiment"": ""neutral"", ""intent"": ""others"", ""emotion"": ""neutral""}",,,,,closed won
16824ec1-7d99-469e-80f3-a270206458ce,2025-06-02T12:06:23.195106,call,CONTACT35,ACCOUNT35,,needs analysis,,"{""sentiment"": ""positive"", ""intent"": ""purchase"", ""emotion"": ""happy""}",,,,,closed won
16824ec1-7d99-469e-80f3-a270206458ce,2025-06-02T12:16:23.195106,meeting,CONTACT35,ACCOUNT35,,proposal,,,"{""sentiment"": ""neutral"", ""intent"": ""others"", ""emotion"": ""neutral""}",,,,closed won
16824ec1-7d99-469e-80f3-a270206458ce,2025-06-02T12:26:23.195106,call,CONTACT35,ACCOUNT35,,negotiation,,"{""sentiment"": ""positive"", ""intent"": ""request"", ""emotion"": ""trust""}",,,,,closed won
16824ec1-7d99-469e-80f3-a270206458ce,2025-06-02T12:36:23.195106,quote,CONTACT35,ACCOUNT35,,closed won,,,,"{""sentiment"": ""positive"", ""intent"": ""purchase"", ""emotion"": ""happy""}",,,closed won
16824ec1-7d99-469e-80f3-a270206458ce,2025-06-02T12:46:23.195106,salesorder,CONTACT35,ACCOUNT35,,closed won,,,,,"{""sentiment"": ""positive"", ""intent"": ""purchase"", ""emotion"": ""happy""}",,closed won
16824ec1-7d99-469e-80f3-a270206458ce,2025-06-02T12:56:23.195106,invoice,CONTACT35,ACCOUNT35,4428,closed won,,,,,,"{""sentiment"": ""positive"", ""intent"": ""purchase"", ""emotion"": ""happy""}",closed won
1c386e1b-63a8-4040-b1c4-6e71aa253979,2025-06-26T11:46:23.188851,mail,CONTACT9,ACCOUNT9,,qualification,"{""sentiment"": ""neutral"", ""intent"": ""request"", ""emotion"": ""neutral""}",,,,,,closed won
1c386e1b-63a8-4040-b1c4-6e71aa253979,2025-06-26T11:56:23.188851,meeting,CONTACT9,ACCOUNT9,,needs analysis,,,"{""sentiment"": ""positive"", ""intent"": ""request"", ""emotion"": ""gratitude""}",,,,closed won
1c386e1b-63a8-4040-b1c4-6e71aa253979,2025-06-26T12:06:23.188851,call,CONTACT9,ACCOUNT9,,proposal,,"{""sentiment"": ""positive"", ""intent"": ""purchase"", ""emotion"": ""happy""}",,,,,closed won
1c386e1b-63a8-4040-b1c4-6e71aa253979,2025-06-26T12:16:23.188851,quote,CONTACT9,ACCOUNT9,,negotiation,,,,"{""sentiment"": ""positive"", ""intent"": ""purchase"", ""emotion"": ""happy""}",,,closed won
1c386e1b-63a8-4040-b1c4-6e71aa253979,2025-06-26T12:26:23.188851,salesorder,CONTACT9,ACCOUNT9,,closed won,,,,,"{""sentiment"": ""positive"", ""intent"": ""purchase"", ""emotion"": ""happy""}",,closed won
1c386e1b-63a8-4040-b1c4-6e71aa253979,2025-06-26T12:36:23.188851,invoice,CONTACT9,ACCOUNT9,8811,closed won,,,,,,"{""sentiment"": ""positive"", ""intent"": ""purchase"", ""emotion"": ""happy""}",closed won
1e3ceca9-9e7f-45ea-9cef-9b6d076f6d45,2025-06-11T11:46:23.195106,mail,CONTACT5,ACCOUNT5,,qualification,"{""sentiment"": ""neutral"", ""intent"": ""request"", ""emotion"": ""neutral""}",,,,,,closed won
1e3ceca9-9e7f-45ea-9cef-9b6d076f6d45,2025-06-11T11:56:23.195106,call,CONTACT5,ACCOUNT5,,qualification,,"{""sentiment"": ""neutral"", ""intent"": ""others"", ""emotion"": ""neutral""}",,,,,closed won
1e3ceca9-9e7f-45ea-9cef-9b6d076f6d45,2025-06-11T12:06:23.195106,call,CONTACT5,ACCOUNT5,,needs analysis,,"{""sentiment"": ""neutral"", ""intent"": ""others"", ""emotion"": ""neutral""}",,,,,closed won
1e3ceca9-9e7f-45ea-9cef-9b6d076f6d45,2025-06-11T12:16:23.195106,meeting,CONTACT5,ACCOUNT5,,proposal,,,"{""sentiment"": ""positive"", ""intent"": ""request"", ""emotion"": ""gratitude""}",,,,closed won
1e3ceca9-9e7f-45ea-9cef-9b6d076f6d45,2025-06-11T12:26:23.195106,call,CONTACT5,ACCOUNT5,,negotiation,,"{""sentiment"": ""positive"", ""intent"": ""request"", ""emotion"": ""trust""}",,,,,closed won
1e3ceca9-9e7f-45ea-9cef-9b6d076f6d45,2025-06-11T12:36:23.195106,quote,CONTACT5,ACCOUNT5,,closed won,,,,"{""sentiment"": ""positive"", ""intent"": ""purchase"", ""emotion"": ""happy""}",,,closed won
1e3ceca9-9e7f-45ea-9cef-9b6d076f6d45,2025-06-11T12:46:23.195106,salesorder,CONTACT5,ACCOUNT5,,closed won,,,,,"{""sentiment"": ""positive"", ""intent"": ""purchase"", ""emotion"": ""happy""}",,closed won
1e3ceca9-9e7f-45ea-9cef-9b6d076f6d45,2025-06-11T12:56:23.195106,invoice,CONTACT5,ACCOUNT5,6172,closed won,,,,,,"{""sentiment"": ""positive"", ""intent"": ""purchase"", ""emotion"": ""happy""}",closed won
1f57a550-1a39-4b93-84e7-b296a6af0c2e,2025-06-28T11:46:23.195106,mail,CONTACT41,ACCOUNT41,,qualification,"{""sentiment"": ""positive"", ""intent"": ""request"", ""emotion"": ""enthusiasm""}",,,,,,closed won
1f57a550-1a39-4b93-84e7-b296a6af0c2e,2025-06-28T11:56:23.195106,call,CONTACT41,ACCOUNT41,,qualification,,"{""sentiment"": ""neutral"", ""intent"": ""others"", ""emotion"": ""neutral""}",,,,,closed won
1f57a550-1a39-4b93-84e7-b296a6af0c2e,2025-06-28T12:06:23.195106,call,CONTACT41,ACCOUNT41,,needs analysis,,"{""sentiment"": ""positive"", ""intent"": ""purchase"", ""emotion"": ""happy""}",,,,,closed won
1f57a550-1a39-4b93-84e7-b296a6af0c2e,2025-06-28T12:16:23.195106,meeting,CONTACT41,ACCOUNT41,,proposal,,,"{""sentiment"": ""positive"", ""intent"": ""request"", ""emotion"": ""gratitude""}",,,,closed won
1f57a550-1a39-4b93-84e7-b296a6af0c2e,2025-06-28T12:26:23.195106,call,CONTACT41,ACCOUNT41,,negotiation,,"{""sentiment"": ""positive"", ""intent"": ""gratitude"", ""emotion"": ""happy""}",,,,,closed won
1f57a550-1a39-4b93-84e7-b296a6af0c2e,2025-06-28T12:36:23.195106,quote,CONTACT41,ACCOUNT41,,closed won,,,,"{""sentiment"": ""positive"", ""intent"": ""purchase"", ""emotion"": ""happy""}",,,closed won
1f57a550-1a39-4b93-84e7-b296a6af0c2e,2025-06-28T12:46:23.195106,salesorder,CONTACT41,ACCOUNT41,,closed won,,,,,"{""sentiment"": ""positive"", ""intent"": ""purchase"", ""emotion"": ""happy""}",,closed won
1f57a550-1a39-4b93-84e7-b296a6af0c2e,2025-06-28T12:56:23.195106,invoice,CONTACT41,ACCOUNT41,7785,closed won,,,,,,"{""sentiment"": ""positive"", ""intent"": ""purchase"", ""emotion"": ""happy""}",closed won
216c0ada-79ed-42fa-9146-8bc5dd49a9de,2025-06-06T11:46:23.195106,mail,CONTACT50,ACCOUNT50,,qualification,"{""sentiment"": ""positive"", ""intent"": ""others"", ""emotion"": ""trust""}",,,,,,closed won
216c0ada-79ed-42fa-9146-8bc5dd49a9de,2025-06-06T11:56:23.195106,call,CONTACT50,ACCOUNT50,,qualification,,"{""sentiment"": ""positive"", ""intent"": ""purchase"", ""emotion"": ""happy""}",,,,,closed won
216c0ada-79ed-42fa-9146-8bc5dd49a9de,2025-06-06T12:06:23.195106,call,CONTACT50,ACCOUNT50,,needs analysis,,"{""sentiment"": ""positive"", ""intent"": ""request"", ""emotion"": ""trust""}",,,,,closed won
216c0ada-79ed-42fa-9146-8bc5dd49a9de,2025-06-06T12:16:23.195106,meeting,CONTACT50,ACCOUNT50,,proposal,,,"{""sentiment"": ""positive"", ""intent"": ""request"", ""emotion"": ""gratitude""}",,,,closed won
216c0ada-79ed-42fa-9146-8bc5dd49a9de,2025-06-06T12:26:23.195106,call,CONTACT50,ACCOUNT50,,negotiation,,"{""sentiment"": ""positive"", ""intent"": ""gratitude"", ""emotion"": ""happy""}",,,,,closed won
216c0ada-79ed-42fa-9146-8bc5dd49a9de,2025-06-06T12:36:23.195106,quote,CONTACT50,ACCOUNT50,,closed won,,,,"{""sentiment"": ""positive"", ""intent"": ""purchase"", ""emotion"": ""happy""}",,,closed won
216c0ada-79ed-42fa-9146-8bc5dd49a9de,2025-06-06T12:46:23.195106,salesorder,CONTACT50,ACCOUNT50,,closed won,,,,,"{""sentiment"": ""positive"", ""intent"": ""purchase"", ""emotion"": ""happy""}",,closed won
216c0ada-79ed-42fa-9146-8bc5dd49a9de,2025-06-06T12:56:23.195106,invoice,CONTACT50,ACCOUNT50,6610,closed won,,,,,,"{""sentiment"": ""positive"", ""intent"": ""purchase"", ""emotion"": ""happy""}",closed won
2222fcd6-930e-4be8-891b-38984e90a75c,2025-06-17T11:46:23.188851,mail,CONTACT13,ACCOUNT13,,qualification,"{""sentiment"": ""positive"", ""intent"": ""request"", ""emotion"": ""gratitude""}",,,,,,closed won
2222fcd6-930e-4be8-891b-38984e90a75c,2025-06-17T11:56:23.188851,meeting,CONTACT13,ACCOUNT13,,needs analysis,,,"{""sentiment"": ""neutral"", ""intent"": ""others"", ""emotion"": ""neutral""}",,,,closed won
2222fcd6-930e-4be8-891b-38984e90a75c,2025-06-17T12:06:23.188851,call,CONTACT13,ACCOUNT13,,proposal,,"{""sentiment"": ""positive"", ""intent"": ""gratitude"", ""emotion"": ""happy""}",,,,,closed won
2222fcd6-930e-4be8-891b-38984e90a75c,2025-06-17T12:16:23.188851,quote,CONTACT13,ACCOUNT13,,negotiation,,,,"{""sentiment"": ""positive"", ""intent"": ""purchase"", ""emotion"": ""happy""}",,,closed won
2222fcd6-930e-4be8-891b-38984e90a75c,2025-06-17T12:26:23.188851,salesorder,CONTACT13,ACCOUNT13,,closed won,,,,,"{""sentiment"": ""positive"", ""intent"": ""purchase"", ""emotion"": ""happy""}",,closed won
2222fcd6-930e-4be8-891b-38984e90a75c,2025-06-17T12:36:23.188851,invoice,CONTACT13,ACCOUNT13,5313,closed won,,,,,,"{""sentiment"": ""positive"", ""intent"": ""purchase"", ""emotion"": ""happy""}",closed won
235aab3a-12fd-4deb-b01d-27517fbb73cd,2025-06-12T11:46:23.188851,mail,CONTACT20,ACCOUNT20,,qualification,"{""sentiment"": ""positive"", ""intent"": ""others"", ""emotion"": ""trust""}",,,,,,closed won
235aab3a-12fd-4deb-b01d-27517fbb73cd,2025-06-12T11:56:23.188851,meeting,CONTACT20,ACCOUNT20,,needs analysis,,,"{""sentiment"": ""positive"", ""intent"": ""purchase"", ""emotion"": ""enthusiasm""}",,,,closed won
235aab3a-12fd-4deb-b01d-27517fbb73cd,2025-06-12T12:06:23.188851,call,CONTACT20,ACCOUNT20,,proposal,,"{""sentiment"": ""positive"", ""intent"": ""request"", ""emotion"": ""trust""}",,,,,closed won
235aab3a-12fd-4deb-b01d-27517fbb73cd,2025-06-12T12:16:23.188851,quote,CONTACT20,ACCOUNT20,,negotiation,,,,"{""sentiment"": ""positive"", ""intent"": ""purchase"", ""emotion"": ""happy""}",,,closed won
235aab3a-12fd-4deb-b01d-27517fbb73cd,2025-06-12T12:26:23.188851,salesorder,CONTACT20,ACCOUNT20,,closed won,,,,,"{""sentiment"": ""positive"", ""intent"": ""purchase"", ""emotion"": ""happy""}",,closed won
235aab3a-12fd-4deb-b01d-27517fbb73cd,2025-06-12T12:36:23.188851,invoice,CONTACT20,ACCOUNT20,3141,closed won,,,,,,"{""sentiment"": ""positive"", ""intent"": ""purchase"", ""emotion"": ""happy""}",closed won
25410f44-aa7c-458b-b791-c5607f775379,2025-06-06T11:46:23.188851,mail,CONTACT28,ACCOUNT28,,qualification,"{""sentiment"": ""positive"", ""intent"": ""request"", ""emotion"": ""enthusiasm""}",,,,,,closed won
25410f44-aa7c-458b-b791-c5607f775379,2025-06-06T11:56:23.188851,meeting,CONTACT28,ACCOUNT28,,needs analysis,,,"{""sentiment"": ""neutral"", ""intent"": ""others"", ""emotion"": ""neutral""}",,,,closed won
25410f44-aa7c-458b-b791-c5607f775379,2025-06-06T12:06:23.188851,call,CONTACT28,ACCOUNT28,,proposal,,"{""sentiment"": ""positive"", ""intent"": ""request"", ""emotion"": ""trust""}",,,,,closed won
25410f44-aa7c-458b-b791-c5607f775379,2025-06-06T12:16:23.188851,quote,CONTACT28,ACCOUNT28,,negotiation,,,,"{""sentiment"": ""positive"", ""intent"": ""purchase"", ""emotion"": ""happy""}",,,closed won
25410f44-aa7c-458b-b791-c5607f775379,2025-06-06T12:26:23.188851,salesorder,CONTACT28,ACCOUNT28,,closed won,,,,,"{""sentiment"": ""positive"", ""intent"": ""purchase"", ""emotion"": ""happy""}",,closed won
25410f44-aa7c-458b-b791-c5607f775379,2025-06-06T12:36:23.188851,invoice,CONTACT28,ACCOUNT28,7063,closed won,,,,,,"{""sentiment"": ""positive"", ""intent"": ""purchase"", ""emotion"": ""happy""}",closed won
2862719c-d69e-4426-ba01-7feff8cdf703,2025-06-22T11:46:23.199626,mail,CONTACT15,ACCOUNT15,,qualification,"{""sentiment"": ""negative"", ""intent"": ""others"", ""emotion"": ""discontentment""}",,,,,,closed lost
2862719c-d69e-4426-ba01-7feff8cdf703,2025-06-22T11:56:23.199626,call,CONTACT15,ACCOUNT15,,needs analysis,,"{""sentiment"": ""negative"", ""intent"": ""query"", ""emotion"": ""confusion""}",,,,,closed lost
2862719c-d69e-4426-ba01-7feff8cdf703,2025-06-22T12:06:23.199626,meeting,CONTACT15,ACCOUNT15,,proposal,,,"{""sentiment"": ""negative"", ""intent"": ""query"", ""emotion"": ""discontentment""}",,,,closed lost
2862719c-d69e-4426-ba01-7feff8cdf703,2025-06-22T12:16:23.199626,call,CONTACT15,ACCOUNT15,,negotiation,,"{""sentiment"": ""negative"", ""intent"": ""query"", ""emotion"": ""confusion""}",,,,,closed lost
2862719c-d69e-4426-ba01-7feff8cdf703,2025-06-22T12:26:23.199626,call,CONTACT15,ACCOUNT15,,closed lost,,"{""sentiment"": ""negative"", ""intent"": ""query"", ""emotion"": ""confusion""}",,,,,closed lost
28a8ffb9-b3df-4c9c-850b-992251ec6bfc,2025-06-21T11:46:23.195106,mail,CONTACT10,ACCOUNT10,,qualification,"{""sentiment"": ""neutral"", ""intent"": ""request"", ""emotion"": ""neutral""}",,,,,,closed won
28a8ffb9-b3df-4c9c-850b-992251ec6bfc,2025-06-21T11:56:23.195106,call,CONTACT10,ACCOUNT10,,qualification,,"{""sentiment"": ""positive"", ""intent"": ""request"", ""emotion"": ""trust""}",,,,,closed won
28a8ffb9-b3df-4c9c-850b-992251ec6bfc,2025-06-21T12:06:23.195106,call,CONTACT10,ACCOUNT10,,needs analysis,,"{""sentiment"": ""positive"", ""intent"": ""gratitude"", ""emotion"": ""happy""}",,,,,closed won
28a8ffb9-b3df-4c9c-850b-992251ec6bfc,2025-06-21T12:16:23.195106,meeting,CONTACT10,ACCOUNT10,,proposal,,,"{""sentiment"": ""positive"", ""intent"": ""purchase"", ""emotion"": ""enthusiasm""}",,,,closed won
28a8ffb9-b3df-4c9c-850b-992251ec6bfc,2025-06-21T12:26:23.195106,call,CONTACT10,ACCOUNT10,,negotiation,,"{""sentiment"": ""positive"", ""intent"": ""purchase"", ""emotion"": ""happy""}",,,,,closed won
28a8ffb9-b3df-4c9c-850b-992251ec6bfc,2025-06-21T12:36:23.195106,quote,CONTACT10,ACCOUNT10,,closed won,,,,"{""sentiment"": ""positive"", ""intent"": ""purchase"", ""emotion"": ""happy""}",,,closed won
28a8ffb9-b3df-4c9c-850b-992251ec6bfc,2025-06-21T12:46:23.195106,salesorder,CONTACT10,ACCOUNT10,,closed won,,,,,"{""sentiment"": ""positive"", ""intent"": ""purchase"", ""emotion"": ""happy""}",,closed won
28a8ffb9-b3df-4c9c-850b-992251ec6bfc,2025-06-21T12:56:23.195106,invoice,CONTACT10,ACCOUNT10,1141,closed won,,,,,,"{""sentiment"": ""positive"", ""intent"": ""purchase"", ""emotion"": ""happy""}",closed won
29500ea2-eb6e-4350-ae26-ff54249ed1ed,2025-06-12T11:46:23.195106,mail,CONTACT12,ACCOUNT12,,qualification,"{""sentiment"": ""positive"", ""intent"": ""others"", ""emotion"": ""trust""}",,,,,,closed won
29500ea2-eb6e-4350-ae26-ff54249ed1ed,2025-06-12T11:56:23.195106,call,CONTACT12,ACCOUNT12,,qualification,,"{""sentiment"": ""positive"", ""intent"": ""request"", ""emotion"": ""trust""}",,,,,closed won
29500ea2-eb6e-4350-ae26-ff54249ed1ed,2025-06-12T12:06:23.195106,call,CONTACT12,ACCOUNT12,,needs analysis,,"{""sentiment"": ""positive"", ""intent"": ""request"", ""emotion"": ""trust""}",,,,,closed won
29500ea2-eb6e-4350-ae26-ff54249ed1ed,2025-06-12T12:16:23.195106,meeting,CONTACT12,ACCOUNT12,,proposal,,,"{""sentiment"": ""positive"", ""intent"": ""request"", ""emotion"": ""gratitude""}",,,,closed won
29500ea2-eb6e-4350-ae26-ff54249ed1ed,2025-06-12T12:26:23.195106,call,CONTACT12,ACCOUNT12,,negotiation,,"{""sentiment"": ""positive"", ""intent"": ""gratitude"", ""emotion"": ""happy""}",,,,,closed won
29500ea2-eb6e-4350-ae26-ff54249ed1ed,2025-06-12T12:36:23.195106,quote,CONTACT12,ACCOUNT12,,closed won,,,,"{""sentiment"": ""positive"", ""intent"": ""purchase"", ""emotion"": ""happy""}",,,closed won
29500ea2-eb6e-4350-ae26-ff54249ed1ed,2025-06-12T12:46:23.195106,salesorder,CONTACT12,ACCOUNT12,,closed won,,,,,"{""sentiment"": ""positive"", ""intent"": ""purchase"", ""emotion"": ""happy""}",,closed won
29500ea2-eb6e-4350-ae26-ff54249ed1ed,2025-06-12T12:56:23.195106,invoice,CONTACT12,ACCOUNT12,3164,closed won,,,,,,"{""sentiment"": ""positive"", ""intent"": ""purchase"", ""emotion"": ""happy""}",closed won
2978b1c5-3b31-4068-acdd-95c26b8f18d0,2025-06-04T11:46:23.199626,mail,CONTACT16,ACCOUNT16,,qualification,"{""sentiment"": ""negative"", ""intent"": ""query"", ""emotion"": ""confusion""}",,,,,,closed lost
2978b1c5-3b31-4068-acdd-95c26b8f18d0,2025-06-04T11:56:23.199626,call,CONTACT16,ACCOUNT16,,needs analysis,,"{""sentiment"": ""negative"", ""intent"": ""complaint"", ""emotion"": ""frustration""}",,,,,closed lost
2978b1c5-3b31-4068-acdd-95c26b8f18d0,2025-06-04T12:06:23.199626,meeting,CONTACT16,ACCOUNT16,,proposal,,,"{""sentiment"": ""negative"", ""intent"": ""query"", ""emotion"": ""discontentment""}",,,,closed lost
2978b1c5-3b31-4068-acdd-95c26b8f18d0,2025-06-04T12:16:23.199626,call,CONTACT16,ACCOUNT16,,negotiation,,"{""sentiment"": ""negative"", ""intent"": ""query"", ""emotion"": ""confusion""}",,,,,closed lost
2978b1c5-3b31-4068-acdd-95c26b8f18d0,2025-06-04T12:26:23.199626,call,CONTACT16,ACCOUNT16,,closed lost,,"{""sentiment"": ""negative"", ""intent"": ""complaint"", ""emotion"": ""frustration""}",,,,,closed lost
2a305aa4-f7a8-4a29-9504-37b56de7b451,2025-06-18T11:46:23.199626,mail,CONTACT19,ACCOUNT19,,qualification,"{""sentiment"": ""negative"", ""intent"": ""query"", ""emotion"": ""confusion""}",,,,,,closed lost
2a305aa4-f7a8-4a29-9504-37b56de7b451,2025-06-18T11:56:23.199626,call,CONTACT19,ACCOUNT19,,needs analysis,,"{""sentiment"": ""negative"", ""intent"": ""complaint"", ""emotion"": ""frustration""}",,,,,closed lost
